"","Gene","im_cell","Cor","p.value"
"1","SHISA3","B.cells.naive",0.281856499027311,0.0958301072099794
"2","SHISA3","B.cells.memory",0.669414176125524,8.03375227570027e-06
"3","SHISA3","Plasma.cells",-0.2054055487152,0.229439210679859
"4","SHISA3","T.cells.CD8",0.403088803088803,0.0153973098357233
"5","SHISA3","T.cells.CD4.naive",-0.0635298043129053,0.712799736204351
"6","SHISA3","T.cells.CD4.memory.resting",0.758568688826558,8.31197985678149e-08
"7","SHISA3","T.cells.CD4.memory.activated",-0.0716330956793473,0.678021629281455
"8","SHISA3","T.cells.follicular.helper",0.0359082689416359,0.835296965811953
"9","SHISA3","T.cells.regulatory..Tregs.",-0.0862290862290862,0.615846001799911
"10","SHISA3","T.cells.gamma.delta",-0.0797363870457893,0.643886735836163
"11","SHISA3","NK.cells.resting",0.0857617325786965,0.618957584142407
"12","SHISA3","NK.cells.activated",-0.172200772200772,0.313964535134564
"13","SHISA3","Monocytes",0.0410241689860981,0.812223920958963
"14","SHISA3","Macrophages.M0",-0.406754065872446,0.01382081245582
"15","SHISA3","Macrophages.M1",-0.666409266409267,1.52698232418271e-05
"16","SHISA3","Macrophages.M2",0.259934647756069,0.125764480198175
"17","SHISA3","Dendritic.cells.resting",-0.368299274879294,0.027094867210612
"18","SHISA3","Dendritic.cells.activated",0.0855913795576766,0.619656848690925
"19","SHISA3","Mast.cells.resting",0.0409794154694246,0.812425118268209
"20","SHISA3","Mast.cells.activated",-0.0958769797303675,0.578044089838978
"21","SHISA3","Eosinophils",-0.534654740794365,0.000781601678706985
"22","SHISA3","Neutrophils",-0.264525659372092,0.118982411443557
"23","LTF","B.cells.naive",0.322814613608717,0.0548204774632917
"24","LTF","B.cells.memory",0.6066968418098,8.75995599781271e-05
"25","LTF","Plasma.cells",-0.179535476165384,0.294758682348691
"26","LTF","T.cells.CD8",0.433204633204633,0.00882710368717993
"27","LTF","T.cells.CD4.naive",-0.0294959805738489,0.864406917458384
"28","LTF","T.cells.CD4.memory.resting",0.564845264707293,0.000332022734838538
"29","LTF","T.cells.CD4.memory.activated",-0.303063097104931,0.0723790767062781
"30","LTF","T.cells.follicular.helper",0.0973914920215592,0.572024521898803
"31","LTF","T.cells.regulatory..Tregs.",-0.0308880308880309,0.857911118546836
"32","LTF","T.cells.gamma.delta",-0.337745184153302,0.0439479149925474
"33","LTF","NK.cells.resting",-0.001414626516762,0.993466832431042
"34","LTF","NK.cells.activated",-0.231145431145431,0.174440867405046
"35","LTF","Monocytes",-0.0744447204446004,0.666101753230698
"36","LTF","Macrophages.M0",-0.387206874014265,0.0196435603422536
"37","LTF","Macrophages.M1",-0.515572715572716,0.00149427786947968
"38","LTF","Macrophages.M2",0.118798256982266,0.49014145032885
"39","LTF","Dendritic.cells.resting",-0.233763080696655,0.170008099199785
"40","LTF","Dendritic.cells.activated",-0.0300643555435567,0.861818965903542
"41","LTF","Mast.cells.resting",0.223453793786108,0.190181159435825
"42","LTF","Mast.cells.activated",-0.345413940367887,0.0390811367917736
"43","LTF","Eosinophils",-0.595791236190928,0.000126191232755264
"44","LTF","Neutrophils",-0.406455539732865,0.0138973240541808
"45","ZNF667","B.cells.naive",0.294540133480347,0.0811957863669798
"46","ZNF667","B.cells.memory",0.654517464550016,1.48887026271518e-05
"47","ZNF667","Plasma.cells",-0.110131603686369,0.522550499831905
"48","ZNF667","T.cells.CD8",0.45485552575043,0.00531702505443722
"49","ZNF667","T.cells.CD4.naive",-0.140844267578076,0.412593740847685
"50","ZNF667","T.cells.CD4.memory.resting",0.652498128745944,1.61458281427625e-05
"51","ZNF667","T.cells.CD4.memory.activated",-0.31442793912712,0.0618079978400635
"52","ZNF667","T.cells.follicular.helper",-0.0112382030510008,0.948133009888948
"53","ZNF667","T.cells.regulatory..Tregs.",0.116609820693234,0.498226388482131
"54","ZNF667","T.cells.gamma.delta",-0.372451239234083,0.0252855088723335
"55","ZNF667","NK.cells.resting",-0.00106103816764285,0.995099786108478
"56","ZNF667","NK.cells.activated",-0.0947293907618326,0.582624148447223
"57","ZNF667","Monocytes",0.116360519051499,0.499151684290293
"58","ZNF667","Macrophages.M0",-0.44630835854022,0.0063636339290686
"59","ZNF667","Macrophages.M1",-0.577900767011724,0.00022337964899155
"60","ZNF667","Macrophages.M2",0.0164162001885837,0.924293114614576
"61","ZNF667","Dendritic.cells.resting",-0.209034243911215,0.221135620421322
"62","ZNF667","Dendritic.cells.activated",-0.087744480069696,0.610843158633805
"63","ZNF667","Mast.cells.resting",0.105676991373117,0.539607715542621
"64","ZNF667","Mast.cells.activated",-0.34757641880719,0.037790792761451
"65","ZNF667","Eosinophils",-0.478633028703823,0.00314751736351593
"66","ZNF667","Neutrophils",-0.39322526755679,0.0176656424922801
"67","C16orf8","B.cells.naive",0.327395455371111,0.0512784624965101
"68","C16orf8","B.cells.memory",0.634513975715747,3.240052242221e-05
"69","C16orf8","Plasma.cells",-0.18391783818202,0.282932566166785
"70","C16orf8","T.cells.CD8",0.465637065637066,0.00459883032279938
"71","C16orf8","T.cells.CD4.naive",-0.0508886697812557,0.768186920969147
"72","C16orf8","T.cells.CD4.memory.resting",0.604569449990176,9.416327321715e-05
"73","C16orf8","T.cells.CD4.memory.activated",-0.255739875524909,0.132208918305532
"74","C16orf8","T.cells.follicular.helper",0.0108499805435159,0.949922460275312
"75","C16orf8","T.cells.regulatory..Tregs.",-0.0749034749034749,0.663127519504933
"76","C16orf8","T.cells.gamma.delta",-0.348441528757006,0.0372843738487109
"77","C16orf8","NK.cells.resting",0.077627630107315,0.65270450757524
"78","C16orf8","NK.cells.activated",-0.225997425997426,0.184442329085329
"79","C16orf8","Monocytes",0.082578822915982,0.632076622546249
"80","C16orf8","Macrophages.M0",-0.546746454621478,0.000560107541874055
"81","C16orf8","Macrophages.M1",-0.501930501930502,0.00206341055236469
"82","C16orf8","Macrophages.M2",0.205443139567622,0.229352119891595
"83","C16orf8","Dendritic.cells.resting",-0.178350663552464,0.298009510266227
"84","C16orf8","Dendritic.cells.activated",-0.0648837877292065,0.706946531838499
"85","C16orf8","Mast.cells.resting",0.192010468708939,0.261912366988259
"86","C16orf8","Mast.cells.activated",-0.344557895906008,0.0396017059292136
"87","C16orf8","Eosinophils",-0.677134952171198,5.75521671479483e-06
"88","C16orf8","Neutrophils",-0.524950145730663,0.00101223747341855
"89","ADH1B","B.cells.naive",0.267575051179846,0.114631470191364
"90","ADH1B","B.cells.memory",0.6790729031762,5.2848021974478e-06
"91","ADH1B","Plasma.cells",-0.136135955549028,0.428544411111449
"92","ADH1B","T.cells.CD8",0.345945945945946,0.039368926672425
"93","ADH1B","T.cells.CD4.naive",-0.0735778856072933,0.669768283118634
"94","ADH1B","T.cells.CD4.memory.resting",0.732448676585758,3.8149290877883e-07
"95","ADH1B","T.cells.CD4.memory.activated",-0.280373881278893,0.0976644386539117
"96","ADH1B","T.cells.follicular.helper",0.0692332091824347,0.688257324188789
"97","ADH1B","T.cells.regulatory..Tregs.",-0.155212355212355,0.364635140024143
"98","ADH1B","T.cells.gamma.delta",-0.245691794230521,0.148634325967371
"99","ADH1B","NK.cells.resting",0.0327132382001213,0.849777044936242
"100","ADH1B","NK.cells.activated",-0.163191763191763,0.340249831161724
"101","ADH1B","Monocytes",0.143584591451343,0.403467143289721
"102","ADH1B","Macrophages.M0",-0.476606530895063,0.00329612726048286
"103","ADH1B","Macrophages.M1",-0.504247104247104,0.00195506545826599
"104","ADH1B","Macrophages.M2",0.181074266340491,0.290570641456669
"105","ADH1B","Dendritic.cells.resting",-0.328608520273688,0.0503718105674959
"106","ADH1B","Dendritic.cells.activated",0.0124245550970821,0.942666292149949
"107","ADH1B","Mast.cells.resting",0.0538660241076085,0.755027910291515
"108","ADH1B","Mast.cells.activated",-0.302611717273973,0.0728263961612776
"109","ADH1B","Eosinophils",-0.59167256702737,0.000144351570380782
"110","ADH1B","Neutrophils",-0.436335514545659,0.00780413887811318
